Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost / Manufacturer Price,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],,IMAGE LINK
generic-dw-liq---pnk-m-1,10134,GENERIC DW LIQ - PNK M,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,25,38,,,https://mage.entrelabel.com/media/magefan_blog/445387342_983720110428282_987447433944668336_n.jpg
generic-dw-liq---pnk-s,10132,GENERIC DW LIQ - PNK S,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,20,55,,,https://mage.entrelabel.com/media/magefan_blog/445387342_983720110428282_987447433944668336_n.jpg
generic-dw-liq---ylw-m,10131,GENERIC DW LIQ - YLW M,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,30,38,,,https://www.packnet.co.za/cdn/shop/files/GenericLabelDishwashArtwork.jpg?v=1708598772&width=990
generic-dw-liq---lem,10027,GENERIC DW LIQ - YLW S,Cleaning/Laundry Supplies,<p>LEMON / YELLOW</p>,N,,,,,,,0,,,,Y,Y,20,251,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98t-lux56s2qifyjc4
gillette-rubie-blade,10316,GILLETTE RUBIE BLADE,HOME ESSENTIALS,,N,,,,,,,0,4.80004E+12,,,N,Y,15,,,,https://down-ph.img.susercontent.com/file/ph-11134207-7rasc-m2dhg82ll3sy94
great-taste-choco,10221,GREAT TASTE CHOCO,FOOD,,N,,,,,,,12.5,4.80002E+12,,,Y,Y,15,37,,,http://sukli.com/cdn/shop/files/GreatTaste-ChocoCoffeeMix-10PackSachet-30g_1200x1200.jpg?v=1749668683
great-taste-premium-roast,10204,GREAT TASTE PREMIUM ROAST,FOOD,,N,,,,,,,12.35,4.80002E+12,,,Y,Y,15,27,,,https://down-ph.img.susercontent.com/file/sg-11134301-8261q-mk99v2mmldz6f5
great-taste-stick,10194,GREAT TASTE STICK,DRINKS,,N,,,,,,,2.71,4.80002E+12,,,Y,Y,5,106,,,https://img.lazcdn.com/g/p/21299005445a849cfba1703b3cf8514e.jpg_720x720q80.jpg
great-taste-white-s.,10205,GREAT TASTE WHITE S.,FOOD,,N,,,,,,,8.2,4.80002E+12,,,Y,Y,10,30,,,https://down-ph.img.susercontent.com/file/sg-11134201-22110-r8nom2xsz7jv89
happy-bbq,10182,HAPPY BBQ,SNACKS,,N,,,,,,,0,4.80009E+12,,,Y,Y,2,60,,,https://d2j6dbq0eux0bg.cloudfront.net/images/17197054/1298756084.jpg
