Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],IMAGE LINK
gatorade-blue-bolt-350ml,10190,GATORADE BLUE BOLT 350ML,DRINKS,,N,,,,,,,25.83,4803925350054,,,Y,Y,35,23,,https://dhamart.pk/storage/gatorade-blue-bolt-350ml.webp
gatorade-tropical-fruit-500ml,10191,GATORADE TROPICAL FRUIT 500ML,DRINKS,,N,,,,,,,36.58,,,,Y,Y,46,4,,https://imartgrocersph.com/wp-content/uploads/2020/09/Gatorade-Tropical-Fruit-500mL.png
generic-dw-liq---cal,10091,GENERIC DW LIQ - GRE S,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,20,103,,https://img.freepik.com/premium-photo/blank-white-product-packaging-neutral-background_1127-62384.jpg?w=996
generic-dw-liq---pnk-m,10133,GENERIC DW LIQ - PNK M,,,N,,,,,,,0,,,,Y,Y,30,38,,https://images-na.ssl-images-amazon.com/images/I/619bJCodbcL._UL500_.jpg
generic-dw-liq---pnk-m-1,10134,GENERIC DW LIQ - PNK M,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,25,38,,https://images-na.ssl-images-amazon.com/images/I/619bJCodbcL._UL500_.jpg
generic-dw-liq---pnk-s,10132,GENERIC DW LIQ - PNK S,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,20,55,,https://images-na.ssl-images-amazon.com/images/I/619bJCodbcL._UL500_.jpg
generic-dw-liq---ylw-m,10131,GENERIC DW LIQ - YLW M,Cleaning/Laundry Supplies,,N,,,,,,,0,,,,Y,Y,30,38,,http://www.bites.com.my/cdn/shop/files/1660874629134_2800_9f43e109-f927-47ad-b92d-790f981a948b_1200x1200.png?v=1713788002
generic-dw-liq---lem,10027,GENERIC DW LIQ - YLW S,Cleaning/Laundry Supplies,<p>LEMON / YELLOW</p>,N,,,,,,,0,,,,Y,Y,20,251,,https://www.packnet.co.za/cdn/shop/files/GenericLabelDishwashArtwork.jpg?v=1708598772&width=600
gillette-rubie-blade,10316,GILLETTE RUBIE BLADE,HOME ESSENTIALS,,N,,,,,,,0,4800037111047,,,N,Y,15,,,https://shopsuki.ph/cdn/shop/files/102054319_1024x.png?v=1699520149
great-taste-choco,10221,GREAT TASTE CHOCO,FOOD,,N,,,,,,,12.5,4800016022258,,,Y,Y,15,37,,http://sukli.com/cdn/shop/files/GreatTaste-ChocoCoffeeMix-10PackSachet-30g_1200x1200.jpg?v=1749668683
great-taste-premium-roast,10204,GREAT TASTE PREMIUM ROAST,FOOD,,N,,,,,,,12.35,4800016024917,,,Y,Y,15,27,,http://www.urc.com.ph/images/products/360/e2add3ff0cf0aa97687aa198a7818ffb7482e12a-1773313378.png
great-taste-stick,10194,GREAT TASTE STICK,DRINKS,,N,,,,,,,2.71,4800016012358,,,Y,Y,5,106,,https://lzd-img-global.slatic.net/g/p/16aa9bc1baa8a046ad5ffadb1e132c0c.jpg_720x720q80.jpg
great-taste-white-s.,10205,GREAT TASTE WHITE S.,FOOD,,N,,,,,,,8.2,4800016021039,,,Y,Y,10,30,,http://deaskitchenandpinoydelicacies.com.au/cdn/shop/files/566F07B5-F4D5-4CD4-8139-37F930998925_1200x1200.jpg?v=1725370972
happy-bbq,10182,HAPPY BBQ,SNACKS,,N,,,,,,,0,4800092330629,,,Y,Y,2,40,,https://static.vecteezy.com/system/resources/previews/030/677/419/non_2x/product-shots-of-of-bbq-with-no-background-free-photo.jpg
happy-classic,10179,HAPPY CLASSIC,SNACKS,,N,,,,,,,0,4800092331657,,,Y,Y,2,40,,https://visualeducation.com/wp-content/uploads/2017/05/packshot_kalr_taylor.jpg
happy-hotnspcy,10181,HAPPY HOTNSPCY,SNACKS,,N,,,,,,,0,4800092330698,,,Y,Y,2,25,,https://primomart.ph/cdn/shop/files/4800092330698_f2a40836-ea1d-449b-bf7a-b6a00692aa72_700x700.jpg?v=1754890306
